,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,ALA Aland Islands,0,0,0,0,0,0
1,Afghanistan,2894,0,90,0,397,0
2,Albania,803,0,31,0,543,0
3,Algeria,4648,0,465,0,1998,0
4,American Samoa,0,0,0,0,0,0
5,Andorra,750,0,45,0,499,0
6,Angola,35,0,2,0,11,0
7,Anguilla,0,0,0,0,0,0
8,Antarctica,0,0,0,0,0,0
9,Antigua and Barbuda,25,0,3,0,15,0
10,Argentina,4887,0,260,0,1442,0
11,Armenia,2507,0,39,0,1071,0
12,Aruba,0,0,0,0,0,0
13,Australia,6847,6847,96,96,5886,5886
14,Austria,15621,0,600,0,13316,0
15,Azerbaijan,1984,0,26,0,1480,0
16,Bahamas,83,0,11,0,25,0
17,Bahrain,3533,0,8,0,1744,0
18,Bangladesh,10143,0,182,0,1209,0
19,Barbados,82,0,7,0,46,0
20,Belarus,17489,0,103,0,3259,0
21,Belgium,50267,0,7924,0,12378,0
22,Belize,18,0,2,0,14,0
23,Benin,96,0,2,0,50,0
24,Bermuda,0,0,0,0,0,0
25,Bhutan,7,0,0,0,5,0
26,Bolivia,1681,0,82,0,174,0
27,Bosnia and Herzegovina,1926,0,78,0,855,0
28,Botswana,23,0,1,0,8,0
29,Bouvet Island,0,0,0,0,0,0
30,Brazil,108620,0,7367,0,45815,0
31,British Indian Ocean Territory,0,0,0,0,0,0
32,British Virgin Islands,0,0,0,0,0,0
33,Brunei Darussalam,138,0,1,0,130,0
34,Bulgaria,1652,0,78,0,321,0
35,Burkina Faso,672,0,46,0,545,0
36,Burundi,15,0,1,0,7,0
37,Cambodia,122,0,0,0,120,0
38,Cameroon,2104,0,64,0,953,0
39,Canada,61956,0,4005,3,26030,0
40,Cape Verde,175,0,2,0,37,0
41,Cayman Islands,0,0,0,0,0,0
42,Central African Republic,85,0,0,0,10,0
43,Chad,117,0,10,0,39,0
44,Chile,20643,0,270,0,10415,0
45,China,83965,83965,4637,4637,78709,78709
46,Christmas Island,0,0,0,0,0,0
47,Cocos (Keeling) Islands,0,0,0,0,0,0
48,Colombia,7973,0,358,0,1807,0
49,Comoros,3,0,0,0,0,0
50,Congo (Brazzaville),236,0,10,0,26,0
51,Congo (Kinshasa),682,0,34,0,80,0
52,Cook Islands,0,0,0,0,0,0
53,Costa Rica,742,0,6,0,399,0
54,Croatia,2101,0,80,0,1522,0
55,Cuba,1668,0,69,0,876,0
56,Cyprus,874,0,15,0,296,0
57,Czech Republic,7819,0,252,0,3807,0
58,Côte d'Ivoire,1432,0,17,0,693,0
59,Denmark,9670,0,493,0,7088,0
60,Djibouti,1116,0,2,0,713,0
61,Dominica,16,0,0,0,13,0
62,Dominican Republic,8235,0,346,0,1771,0
63,Ecuador,31881,0,1569,0,3433,0
64,Egypt,6813,0,436,0,1632,0
65,El Salvador,555,0,13,0,180,0
66,Equatorial Guinea,315,0,3,0,13,0
67,Eritrea,39,0,0,0,26,0
68,Estonia,1703,0,55,0,259,0
69,Ethiopia,140,0,3,0,75,0
70,Falkland Islands (Malvinas),0,0,0,0,0,0
71,Faroe Islands,0,0,0,0,0,0
72,Fiji,18,0,0,0,14,0
73,Finland,5327,0,240,0,3500,0
74,France,167886,0,25168,0,50438,0
75,French Guiana,0,0,0,0,0,0
76,French Polynesia,0,0,0,0,0,0
77,French Southern Territories,0,0,0,0,0,0
78,Gabon,367,0,6,0,93,0
79,Gambia,17,0,1,0,9,0
80,Georgia,593,0,9,0,223,0
81,Germany,166152,0,6993,0,132700,0
82,Ghana,2719,0,18,0,294,0
83,Gibraltar,0,0,0,0,0,0
84,Greece,2632,0,146,0,1374,0
85,Greenland,0,0,0,0,0,0
86,Grenada,21,0,0,0,13,0
87,Guadeloupe,0,0,0,0,0,0
88,Guam,0,0,0,0,0,0
89,Guatemala,730,0,19,0,79,0
90,Guernsey,0,0,0,0,0,0
91,Guinea,1710,0,9,0,450,0
92,Guinea-Bissau,413,0,1,0,19,0
93,Guyana,92,0,9,0,27,0
94,Haiti,100,0,11,0,10,0
95,Heard and Mcdonald Islands,0,0,0,0,0,0
96,Holy See (Vatican City State),11,0,0,0,2,0
97,Honduras,1178,0,83,0,122,0
98,"Hong Kong, SAR China",0,0,0,0,0,0
99,Hungary,3035,0,351,0,630,0
100,Iceland,1799,0,10,0,1723,0
101,India,46437,0,1566,0,12847,0
102,Indonesia,11587,0,864,0,1954,0
103,"Iran, Islamic Republic of",98647,0,6277,0,79379,0
104,Iraq,2346,0,98,0,1544,0
105,Ireland,21772,0,1319,0,13386,0
106,Isle of Man,0,0,0,0,0,0
107,Israel,16246,0,235,0,10064,0
108,Italy,211938,0,29079,0,82879,0
109,Jamaica,471,0,9,0,38,0
110,Japan,15078,0,536,0,4156,0
111,Jersey,0,0,0,0,0,0
112,Jordan,465,0,9,0,370,0
113,Kazakhstan,4049,0,29,0,1173,0
114,Kenya,490,0,24,0,173,0
115,Kiribati,0,0,0,0,0,0
116,Korea (North),0,0,0,0,0,0
117,Korea (South),10804,0,254,0,9283,0
118,Kuwait,5278,0,40,0,1947,0
119,Kyrgyzstan,830,0,10,0,575,0
120,Lao PDR,19,0,0,0,9,0
121,Latvia,896,0,16,0,348,0
122,Lebanon,740,0,25,0,200,0
123,Lesotho,0,0,0,0,0,0
124,Liberia,166,0,18,0,58,0
125,Libya,63,0,3,0,23,0
126,Liechtenstein,82,0,1,0,55,0
127,Lithuania,1419,0,46,0,638,0
128,Luxembourg,3828,0,96,0,3405,0
129,"Macao, SAR China",0,0,0,0,0,0
130,"Macedonia, Republic of",1518,0,85,0,992,0
131,Madagascar,149,0,0,0,99,0
132,Malawi,41,0,3,0,9,0
133,Malaysia,6353,0,105,0,4484,0
134,Maldives,541,0,1,0,18,0
135,Mali,580,0,29,0,223,0
136,Malta,480,0,4,0,399,0
137,Marshall Islands,0,0,0,0,0,0
138,Martinique,0,0,0,0,0,0
139,Mauritania,8,0,1,0,6,0
140,Mauritius,332,0,10,0,316,0
141,Mayotte,0,0,0,0,0,0
142,Mexico,24905,0,2271,0,13447,0
143,"Micronesia, Federated States of",0,0,0,0,0,0
144,Moldova,4248,0,132,0,1423,0
