,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,ALA Aland Islands,0,0,0,0,0,0
1,Afghanistan,933,27,30,0,112,13
2,Albania,548,9,26,0,302,19
3,Algeria,2534,116,367,3,894,48
4,American Samoa,0,0,0,0,0,0
5,Andorra,704,8,35,0,205,14
6,Angola,24,5,2,0,6,1
7,Anguilla,0,0,0,0,0,0
8,Antarctica,0,0,0,0,0,0
9,Antigua and Barbuda,23,0,3,0,3,0
10,Argentina,2758,89,129,6,685,19
11,Armenia,1248,47,20,1,523,121
12,Aruba,0,0,0,0,0,0
13,Australia,6547,25,67,1,4124,316
14,Austria,14671,76,443,12,10214,510
15,Azerbaijan,1373,33,18,3,590,62
16,Bahamas,55,1,9,0,10,4
17,Bahrain,1773,33,7,0,755,30
18,Bangladesh,2144,306,84,9,66,8
19,Barbados,75,0,5,0,17,2
20,Belarus,4779,0,45,3,342,0
21,Belgium,37183,1045,5453,290,8348,387
22,Belize,18,0,2,0,0,0
23,Benin,35,0,1,0,18,0
24,Bermuda,0,0,0,0,0,0
25,Bhutan,5,0,0,0,2,0
26,Bolivia,493,28,31,0,31,5
27,Bosnia and Herzegovina,1268,54,47,1,338,18
28,Botswana,15,0,1,0,0,0
29,Bouvet Island,0,0,0,0,0,0
30,Brazil,36658,2976,2354,213,14026,0
31,British Indian Ocean Territory,0,0,0,0,0,0
32,British Virgin Islands,0,0,0,0,0,0
33,Brunei Darussalam,137,1,1,0,113,1
34,Bulgaria,878,32,41,0,153,12
35,Burkina Faso,565,8,36,1,321,27
36,Burundi,5,0,1,0,0,0
37,Cambodia,122,0,0,0,103,5
38,Cameroon,1017,21,22,0,177,13
39,Canada,34356,1542,1400,45,10964,419
40,Cape Verde,58,2,1,0,1,0
41,Cayman Islands,0,0,0,0,0,0
42,Central African Republic,12,0,0,0,4,0
43,Chad,33,6,0,0,8,3
44,Chile,9730,478,126,10,4035,414
45,China,83787,27,4636,0,77614,62
46,Christmas Island,0,0,0,0,0,0
47,Cocos (Keeling) Islands,0,0,0,0,0,0
48,Colombia,3439,0,153,0,634,0
49,Comoros,0,0,0,0,0,0
50,Congo (Brazzaville),143,0,6,0,11,0
51,Congo (Kinshasa),307,20,25,2,26,1
52,Cook Islands,0,0,0,0,0,0
53,Costa Rica,655,6,4,0,97,9
54,Croatia,1832,18,39,3,615,15
55,Cuba,986,63,32,1,227,35
56,Cyprus,761,11,12,0,79,2
57,Czech Republic,6606,57,181,8,1227,53
58,Côte d'Ivoire,801,113,8,2,239,46
59,Denmark,7437,169,346,10,4031,460
60,Djibouti,732,0,2,0,76,0
61,Dominica,16,0,0,0,8,0
62,Dominican Republic,4335,209,217,17,312,44
63,Ecuador,9022,572,456,35,1008,170
64,Egypt,3032,188,224,19,701,55
65,El Salvador,190,13,7,0,43,5
66,Equatorial Guinea,79,0,0,0,4,0
67,Eritrea,39,4,0,0,3,3
68,Estonia,1512,53,38,0,162,17
69,Ethiopia,105,9,3,0,16,1
70,Falkland Islands (Malvinas),0,0,0,0,0,0
71,Faroe Islands,0,0,0,0,0,0
72,Fiji,17,0,0,0,0,0
73,Finland,3681,192,90,8,1700,0
74,France,149149,19,19345,642,36587,1581
75,French Guiana,0,0,0,0,0,0
76,French Polynesia,0,0,0,0,0,0
