,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,,0,0,0,0,0,0
1, Azerbaijan,0,0,0,0,0,0
2,Afghanistan,84,10,2,1,2,1
3,Albania,146,23,5,0,17,7
4,Algeria,302,38,21,2,65,41
5,Andorra,188,24,1,0,1,0
6,Angola,3,0,0,0,0,0
7,Antigua and Barbuda,3,0,0,0,0,0
8,Argentina,387,0,8,2,52,0
9,Armenia,265,16,0,0,16,2
10,Aruba,4,0,0,0,0,0
11,Australia,2364,320,8,0,119,0
12,Austria,5588,305,30,2,9,0
13,Azerbaijan,93,6,2,1,10,0
14,Bahamas,5,0,0,0,1,0
15,"Bahamas, The",4,0,0,0,0,0
16,Bahrain,419,27,4,1,177,0
17,Bangladesh,39,0,5,1,7,2
18,Barbados,18,0,0,0,0,0
19,Belarus,86,5,0,0,29,7
20,Belgium,4937,668,178,56,547,86
21,Belize,2,1,0,0,0,0
22,Benin,6,0,0,0,0,0
23,Bhutan,2,0,0,0,0,0
24,Bolivia,32,3,0,0,0,0
25,Bosnia and Herzegovina,176,10,3,0,2,0
26,Brazil,2554,307,59,13,2,0
27,Brunei,109,5,0,0,2,0
28,Bulgaria,242,24,3,0,4,1
29,Burkina Faso,146,32,4,0,10,3
30,Cabo Verde,4,1,1,0,0,0
31,Cambodia,96,5,0,0,10,6
32,Cameroon,75,9,1,1,2,0
33,Canada,3251,461,30,4,183,73
34,Cape Verde,0,0,0,0,0,0
35,Cayman Islands,1,0,0,0,0,0
36,Central African Republic,3,0,0,0,0,0
37,Chad,3,0,0,0,0,0
38,Channel Islands,0,0,0,0,0,0
39,Chile,1142,220,3,1,22,5
40,China,81661,70,3285,4,73773,493
41,Colombia,470,92,4,1,8,2
42,Congo (Brazzaville),4,0,0,0,0,0
43,Congo (Kinshasa),48,3,2,0,0,0
44,Costa Rica,201,24,2,0,2,0
45,Cote d'Ivoire,80,7,0,0,3,1
46,Croatia,442,60,1,0,22,17
47,Cruise Ship,712,0,8,0,567,242
48,Cuba,57,9,1,0,1,0
49,Curacao,0,0,0,0,0,0
50,Cyprus,132,8,3,0,3,0
51,Czech Republic,41,10,0,0,0,0
52,Czechia,1654,260,6,3,10,0
53,Denmark,1862,144,34,2,41,5
54,Diamond Princess,0,0,0,0,0,0
55,Djibouti,11,8,0,0,0,0
56,Dominica,7,5,0,0,0,0
57,Dominican Republic,392,80,10,4,3,0
58,East Timor,0,0,0,0,0,0
59,Ecuador,1173,91,28,1,3,0
60,Egypt,456,54,21,1,95,15
61,El Salvador,9,4,0,0,0,0
62,Equatorial Guinea,9,0,0,0,0,0
63,Eritrea,4,3,0,0,0,0
64,Estonia,404,35,1,1,8,1
65,Eswatini,4,0,0,0,0,0
66,Ethiopia,12,0,0,0,0,0
67,Faroe Islands,2,0,0,0,0,0
68,Fiji,5,1,0,0,0,0
69,Finland,880,88,3,2,10,0
70,France,25600,2978,1333,231,3907,619
71,French Guiana,18,0,0,0,6,0
72,Gabon,6,0,1,0,0,0
